country,num_players,avg_overall,avg_value,percentage_of_players
England,241,80.86721991701245,31.7,24.566768603465853
France,89,80.08988764044943,25.507865168539325,9.072375127421
Germany,135,80.38518518518518,27.972592592592594,13.761467889908257
Italy,191,80.26701570680628,24.648691099476437,19.469928644240568
Netherlands,24,79.20833333333333,20.945833333333333,2.4464831804281344
Portugal,42,79.64285714285714,23.214285714285715,4.281345565749235
Spain,191,80.7434554973822,26.523036649214657,19.469928644240568
Switzerland,1,77.0,14.5,0.10193679918450561
Turkey,24,78.66666666666667,13.929166666666667,2.4464831804281344
Unknown,43,78.62790697674419,11.116279069767442,4.383282364933741
